time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_hours (h)
2023-03-15,19.5,3.2,0.0
2023-03-16,17.6,6.3,9.0
2023-03-17,14.0,9.0,22.0
2023-03-18,15.3,7.1,15.0
2023-03-19,17.8,4.6,0.0
2023-03-20,19.1,4.8,0.0
2023-03-21,16.8,7.8,0.0
2023-03-22,14.9,8.8,5.0
2023-03-23,13.9,11.8,15.0
2023-03-24,15.9,8.7,6.0
2023-03-25,15.5,5.3,7.0
2023-03-26,15.8,6.3,0.0
2023-03-27,20.4,2.8,0.0
2023-03-28,22.1,7.8,0.0
2023-03-29,20.8,11.5,5.0
2023-03-30,17.0,12.6,20.0
2023-03-31,16.0,10.1,9.0
2023-04-01,16.3,9.1,15.0
2023-04-02,18.6,3.0,0.0
2023-04-03,18.0,4.6,2.0
2023-04-04,22.0,5.7,0.0